cycle,sm,cta,warp,pc,instruction,event,active_mask,eligible,selected,stall_reason,memory_transaction_count,cache_result,divergence_depth
60,0,0,4,4,"HALT",RECONVERGE,00000000000000001111111111111111,1,0,"",,,
60,1,0,12,11,"HALT",ISSUE,11111111111111110000000000000000,1,1,"",,,
60,1,0,12,4,"HALT",RECONVERGE,00000000000000001111111111111111,1,0,"",,,
61,0,0,5,11,"HALT",ISSUE,11111111111111110000000000000000,1,1,"",,,
61,0,0,5,4,"HALT",RECONVERGE,00000000000000001111111111111111,1,0,"",,,
61,1,0,13,11,"HALT",ISSUE,11111111111111110000000000000000,1,1,"",,,
61,1,0,13,4,"HALT",RECONVERGE,00000000000000001111111111111111,1,0,"",,,
62,0,0,6,11,"HALT",ISSUE,11111111111111110000000000000000,1,1,"",,,
62,0,0,6,4,"HALT",RECONVERGE,00000000000000001111111111111111,1,0,"",,,
62,1,0,14,11,"HALT",ISSUE,11111111111111110000000000000000,1,1,"",,,
62,1,0,14,4,"HALT",RECONVERGE,00000000000000001111111111111111,1,0,"",,,
63,0,0,7,11,"HALT",ISSUE,11111111111111110000000000000000,1,1,"",,,
63,0,0,7,4,"HALT",RECONVERGE,00000000000000001111111111111111,1,0,"",,,
63,1,0,15,11,"HALT",ISSUE,11111111111111110000000000000000,1,1,"",,,
63,1,0,15,4,"HALT",RECONVERGE,00000000000000001111111111111111,1,0,"",,,
64,0,0,0,4,"MOVI r3, 200",ISSUE,00000000000000001111111111111111,1,1,"",,,
64,0,0,0,4,"MOVI r3, 200",EXECUTE,00000000000000001111111111111111,1,0,"",,,
64,1,0,8,4,"MOVI r3, 200",ISSUE,00000000000000001111111111111111,1,1,"",,,
64,1,0,8,4,"MOVI r3, 200",EXECUTE,00000000000000001111111111111111,1,0,"",,,
65,0,0,0,5,"",WRITEBACK,00000000000000001111111111111111,1,0,"",,,
65,0,0,1,4,"MOVI r3, 200",ISSUE,00000000000000001111111111111111,1,1,"",,,
65,0,0,1,4,"MOVI r3, 200",EXECUTE,00000000000000001111111111111111,1,0,"",,,
65,1,0,8,5,"",WRITEBACK,00000000000000001111111111111111,1,0,"",,,
65,1,0,9,4,"MOVI r3, 200",ISSUE,00000000000000001111111111111111,1,1,"",,,
65,1,0,9,4,"MOVI r3, 200",EXECUTE,00000000000000001111111111111111,1,0,"",,,
66,0,0,1,5,"",WRITEBACK,00000000000000001111111111111111,1,0,"",,,
66,0,0,2,4,"MOVI r3, 200",ISSUE,00000000000000001111111111111111,1,1,"",,,
66,0,0,2,4,"MOVI r3, 200",EXECUTE,00000000000000001111111111111111,1,0,"",,,
66,1,0,9,5,"",WRITEBACK,00000000000000001111111111111111,1,0,"",,,
